Sentence,Emotion
"Đó là mùa hè của những tháng ngày ôn thi , tiếng ve kêu om sòm như bản nhạc tạm biệt dưới mái trường ấm áp của mùa hè , những cái nóng oi ả như thiêu cháy tâm hồn của thời học sinh hay những làn gió khẻ thổi qua mái tóc  trong những lần chơi đùa ríu rít . Mùa hè là vậy đấy vừa vui nhưng cũng lại thật buồn, những tiếng nói tiếng cười của bao thế hệ vẫn sẽ mãi được chôn dấu trong những cái hè oi ả của mùa hè năm ấy",Enjoyment
"Lâu rồi mình không tắm mưa, giờ mình vừa thi xong, có lẻ sẽ đậu đại học, vậy là mình đã trở thành 1 hình mẫu cha mẹ mong muốn, vậy là mình lớn rồi, mình sẽ chẳng thể hồn nhiên tắm mưa nữa, mình muốn mình nhỏ lại hồn nhiên hơn vui vẻ hơn. Mình cũng xin lỗi cậu vì mình làm cậu tổn thương ngay mùa hè cuối cùng của thời học sinh, xin lỗi mình đã không tìm cách mà lại tìm lí do, xin lỗi cậu.",Enjoyment
"Mới lớp 10 mà nghe xao xuyến,buồn man mác ",Sadness
"Mùa hè trong mắt em, tôi tìm hạnh phúc trong thoáng giâу em nhìn
Ϲhờ em trên lối quen để thấу con tim nghẹn ngào
Từng ngàу qua đi, từng ngàу tôi ngóng trông ai bên thềm
Ɲgoài trời mưa đã rơi, mùa hè sẽ trôi rất mau...
Ѕao vẫn vội bước đi, để ai ngẩn ngơ theo tà áo trắng
Ѕao ko quaу nhìn anh một lần, để từng đêm anh mơ mùa hè trong mắt em
Tìm lại trong mắt ai, tìm lại những tháng năm ko u hoài
Tìm lại con phố quen ngàу anh đứng chờ em
Mùa hè đã trôi xa, mình anh nhặt lá thu rơi bên thềm
Mình anh đứng trong đêm mơ về màu mắt ấу...
Mùa hè trong mắt em, một mùa hè đã mãi ko quaу về
Anh vẫn chờ em, con tim anh đã trọn đời уêu em",Other
"Tớ đã trả qua mùa hè đáng nhớ là khi ph đối mặt với kì thi vào 10 cái nắng gay gắt của hè lúc ấy chẳng thấm thoát gì so với lỗi lo của tớ với sự kì vọng của mọi người,đó là khoảng thời gian đáng nhớ nhất khi ph giải một bài toán khó đến phát hoảng,những trang văn dài viết mãi chẳng xong,những câu tiếng anh khó hiểu,... Sau khi trải qua kì thi thuận lợi khi nghĩ lại tớ đã thấy đc vẻ đẹp của sự nỗ lực mà tớ ch từng thấy trc đây,tớ sẽ cố gắng gìn giữ lại vẻ đẹp ấy.Nhưng đi song song với vẻ đẹp ấy là một sự tiếc nối,một nỗi buồn đến nao lòng tớ nhớ tiếng gọi của lũ con gái ríu rít rủ nhau đi ăn sáng những câu chuyện kh bao giờ hết,tớ nhận ra rằng lớp 10 là nơi mà ta hướng đến nhưng sau cùng tập thể lớp9 mới là nơi ta muốn học cùng",Sadness
"Sắp rồi mùa hè ấy đời tôi, chia xa cô bạn gái dễ thương, tạm biệt người tôi từng thương mến, sẽ mãi mãi chẳng gặp nữa nhưng lung linh như vầng nắng trong tim",Other
"4h48 ngày 12/9/2023 tôi đã rời khỏi ghế nhà trường bạn bè thì đã đi hc hết chỉ còn mình tôi ở nhà,tôi thực thực cảm thầy mất phương hướng giữa cuộc đời này, tôi rất muốn quay lai quãng thời thời gian lúc tháng 6 còn ôn thi còn được nói chuyện với mọi người rất rất nhờ quãng thời gian đó. Mong sao khi bản thân tôi đọc lại được bình luận này thì tôi đã tìm được hướng đi cho cuộc đời của minh.",Other
"nhớ hồi hc cấp 1 kinh khủng. Hồi ấy, hè vui biết bao nhiêu. Đến lúc lên cấp 2, mỗi đứa 1 lớp, các mối quan hệ bạn bè dần nhạt đi, hè cx chỉ là nhx ngày ở nhà cắm mặt vào điện thoại, chán kinh khủng.",Enjoyment
"không biết những năm cấp 3 của các bạn thế nào, đối với tôi thì nó cứ như 1 màu xám xịt , mỗi ngày lặp đi lặp lại, những thứ gọi là ""tuổi xuân"" của tôi đã dừng lại thời cấp 2, vậy nên thứ duy nhất tôi cảm thấy hoài niệm nhất đó là những năm cấp 2 thôi và giờ tôi ở đây một 1 thằng nhóc 19 tuổi sv năm nhất đại học, lúc nào cũng bận bịu với deadline và đắm chìm vào những ""hồi ức"" đẹp của những mùa hè năm cấp 2",Other
"Mùa hè đẹp nhất là mùa hè chúng ta gặp nhau,cảm ơn các bạn đã là kĩ niệm của tớ 1 năm nữa là sao nhau phải thi cấp 3 rồi mong rằng chúng ta sẽ đỗ những ngôi trường mà bản thân hằng mong ước.Mùa hè này  đẹp lắm đẹp đến nỗi khiến ta nhớ cả đời",Other
"Mùa hè của tớ là năm lớp 9 "" mùa hè như in sâu trong kí ức tớ , nhớ những kỉ niệm cùng thầy cô , bạn bè và cùng người con trai ấy """,Other
"có những mùa hè chẳng thể nào quay trở lại. năm đó tớ 12, mùa hè nóng như lửa đốt, ngồi trong phòng học mười mấy mét vuông ai nấy đều nhễ nhại mồ hôi. vậy mà chúng tớ chẳng một ai kêu than gì cả, cứ miệt mài ngồi giải từng đề thi, từng câu chữ, từng dòng văn...thế rồi cái mùa phượng ấy cũng trôi qua, tớ lên đại học, bạn tớ cũng thế, mỗi đứa một nơi, lúc đó tớ chợt nhận ra rằng, thời áo trắng học trò vĩnh viễn đã mãi mãi ở lại trong quá khứ mất rồi.
A7K59 THPT Lệ Thủy...",Other
"nghe thôi mà đau lòng quá, cứ nghẹn ở cổ họng muốn tràn giọt nước kỉ niệm",Hurt
"Mùa hè năm đó, em gặp anh..",Other
"nhanh thật, chỉ còn 2 tháng nữa là mùa hè cuối cùng thời học sinh kết thúc thật rồi. chúng ta ai rồi cũng phải lớn, chỉ là kỉ niệm vẫn còn đó",Other
"Vừa buồn, vừa nhớ, vừa thương. Mùa hè quay trở lại như một vòng tuần hoàn nhưng chúng ta của hiện tại đều đã lớn cả rồi.",Sadness
"Mùa hè đến 
Cũng buồn
Nhưng tôi buồn không như bao người
Tôi nghĩ về những kỷ niệm bị chửi, bị bắt nạt thời học sinh...",Sadness
Mùa hè của thời học sinh mãi là thứ kỉ niệm thiêng liêng. Cái nắng của Sài Gòn đối với một đứa xa nhà lại làm mình nhớ da diết thứ kỉ niệm ấy. ,Other
"Ngày cuối tôi bước ra khỏi trường, hoàn thành môn thi cuối cùng là một ngày mưa, tụi học sinh mình ko về ngay mà thi nhau tắm mưa và tạt nước, mình ko tham gia cùng, chỉ đứng nhìn các bạn, giờ chỉ ước quay lại ngày ấy để cảm nhận lại được sự nhẹ nhóm sau khi thi, được nghe tiếng gió hắt mưa và được tham gia vào tắm mưa cùng các bạn",Other
Mình còn 3 năm nữa là kết thúc thời học sinh nhanh thật mới hôm nào còn ở hôm khai giảng lớp 1 những ngày cuối cấp 2 các bạn học nhiều lắm mình muốn giữ 1 chút kỉ niệm với các bạn dù mình chỉ là đứa luôn trầm lặng khi chụp ảnh kỉ yếu mình cũng không đi mình muốn giữ lại 1 chút kỉ niệm với các bạn với bạn cùng bàn của mình,Other
"Mùa hạ, mùa thi, mùa của những cơn mưa rào bớt chợt, mùa của những tình yêu chưa kịp nở đã chóng tàn, mùa mà mỗi khi nghĩ lại giọt nước mắt cứ rưng rưng. Nhưng nếu có ai đó hỏi tôi rằng"" có hối hận không"" thì câu trả lời chắc chắn là không bởi vì chúng tôi đã sống hết mình ở những năm tháng đó, những kí ức sẽ ở đó chỉ là chúng tôi đã không còn là chúng tôi tuổi 18.",Other
"mình đã từng có một khoảng tgian lớp 9 thật sự rất tuyệt vời, cứ ngỡ khoảng khắc ấy sẽ kéo dài mãi, và rồi mình đã nghe thấy tiếng ve râm ran cả một góc sân trường. mình biết đã sắp đến lúc phải chia xa. rồi ngày ấy đã đến, kỳ thi tuyển sinh lớp 10 đã đến, ngày chúng mình chia xa đã đến",Enjoyment
Tớ k dám nghe hết vì sợ cảm giác tiếc nuối dâng lên trong lòng. Dù đã tốt nghiệp cả đại học rồi nhưng những năm tháng cấp 3 ấy cứ mãi vấn vương tớ,Fear
"Tầm này năm ngoái, mình mong cuộc sống đại học, bạn mới, trường mới, kiến thức mới. Nhưng giờ học xong 1 năm rồi, mình lại mong quay về ngày lớp 10 ngây ngô ấy, chăm chỉ học tập mơ về 1 tương lai, nghịch ngợm leo trèo cùng hội bạn, trốn tiết chạy ra cổng trường ăn bánh rán, chạy lon ton chiếc xe đạp mượn được cùng đứa bạn, đi qua đám cây bàng, trêu chọc thầy cô, tuy sợ bị ăn mắng nhưng mà có bạn bè, bây giờ cảm thấy lạc lõng trong cuộc sống sinh viên này, thật mệt mỏi, áp lực học tập sợ trượt môn, không bạn bè, không người thân bên cạnh, chi li tính toán từng chút một cho cuộc sống của bản thân",Fear
"27/04/2023,sắp rời xa mái trường, xa cả mối tình tôi ấp ủ suốt gần 3 năm,mọi thứ rồi sẽ thành kỷ niệm cả thôi",Other
"Mình ko có kỷ niệm thời cấp 3 ,chỉ có những kỷ niệm đẹp thời thơ ấu và cấp 2  Nhớ quá .Bản thân ơi đừng bỏ cuộc nhé.Chiến thắng bệnh tâm lý đeo đuổi mình 10_năm trời",Other
"Hè này có lẽ là hè vui vẻ nhất năm cấp 2, năm sau là cuối cấp rồi sẽ áp lực lắm đây. Tôi biết hè này không phải là hè cuối cùng của cấp 2 nhưng tôi muốn để toàn bộ kỉ niệm của 4 năm thcs vào 3 tháng này. Tôi có một nỗi sợ rằng tới buổi học cuối cùng sẽ chẳng có kỉ niệm nào lưu giữ lại cả, sợ rằng sau khi tốt nghiệp sẽ chẳng nhớ về ai cả, quên tất cả... Tôi muốn gửi gắm toàn bộ cho mùa hè này.",Enjoyment
Nhớ và buồn quá ,Sadness
Mình thấy tiếc nuối khi thấy những kỉ niệm đẹp qua lời kể của mọi người,Other
"Chỉ còn 1 mùa hè nữa, 1 mùa hè nữa thôi là thời học sinh của em sẽ kết thúc. Thế nhưng sao bấy giờ đây em đã dần cảm nhận được cảm giác đau đớn của sự chia xa nhỉ. Lạ quá....",Hurt
"Ngày liên hoan cuối cấp ấy lấy hết can đảm để điện thoại kêu cậu ấy cho đi nhờ xe Cậu ấy đồng ý mình vui lắm. Nhưng mình cảm thấy mình sai r lúc về mình day dứt lưu luyến cảm giác ấy ngồi sau bóng lưng chàng trai mình đơn phương 4 năm . Mình đã khóc, khóc rất nhiều tại vì ngày hôm đó là lần cuối  mình gặp ấy rồi. Sau này bước ra cuộc sống bộn bề mong cậu vẫn nhớ về mình",Enjoyment
"Hôm nay là ngày học cuối cùng của mình tại cấp 3 , có một cảm xúc khó tả lắm . Tuy rằng ai cũng vui vẻ trước mặt mọi người nhưng trong lòng lại hẫng đi một nhịp , mai này mở mắt , không còn nhìn đồng hô xem có muộn học không nữa , không còn được cùng bạn bè rôm rả , chơi đùa . Giá như mùa hè của tụi mình cứ kéo dài mãi thôi....",Enjoyment
"Lúc chúng ta còn bé, hoa phượng gợi đến những cuộc chia tay bạn bè, chia tay thầy cô, chia tay những mối tình đầu. Nhưng dù sao đó vẫn là cuộc chia tay trong không gian, cơ hội gặp lại người xưa vẫn còn, dẫu là trong hoàn cảnh khác. Nhưng khi năm tháng qua đi, chúng ta càng ngày càng dấn bước sâu vào thế giới người lớn, hoa phượng vô tình gợi đến một cuộc chia tay khác u buồn hơn: chia tay tuổi học trò, chia tay con đường ấu thơ, chia tay kỉ niệm- cuộc chia tay không bao giờ có cơ hội tái hợp. Chuyến tàu thơi gian không có vé khứ hồi, sân ga tuổi nhỏ một khi rời đi là vĩnh viễn không có lối quay về.",Sadness
nghe mà khóc luôn á,Sadness
"Mỗi câu podcast của bạn đều làm tôi nghẹn lòng 
Chả hiểu như có một thứ gì đó bóp nghẹn lòng tôi
Thời gian cứ trôi và trôi đến khi chúng ta nhìn lại những ngày ấy đã quá xa rồi",Other
4/6 thi cấp 3 rồi nói lời yêu không kịp nữa rồi,Other
đây là những vd chữa lành... nhưng tại sao tôi lại khóc chứ,Sadness
"Em đang ở cuối mùa hè, không cuộc vui nào là mãi, những người bạn không cùng nhau để đi qua mùa hè cuối này",Enjoyment
"Mùa hè luôn gợi nhớ những kỷ niệm ngọt ngào và tự do của tuổi trẻ, nhưng cũng là biểu tượng cho những khoảnh khắc trôi qua không thể lấy lại. Chủ đề ‘Có những mùa hè không trở lại...’ khiến ta suy ngẫm về giá trị của thời gian và sự quý giá của từng giây phút hiện tại. Đôi khi ta chỉ nhận ra điều quan trọng khi nó đã qua đi. Đây là lời nhắc nhở nhẹ nhàng nhưng sâu sắc để trân trọng và sống hết mình với hiện tại, không để thanh xuân vụt mất trong hối tiếc.",Other
"Hè năm nay đã là hè cuối cùng của e sắp lên 12 là cuối cấp rồi thì bỗng dưng yt đề xuất video này, e biết là e chỉ còn 1 năm làm học sinh thôi nên e sẽ trân trọng nó mỗi ngày e cũng biết là khoảng thời gian sau khi ra trường cuộc sống e sẽ khác đi rất nhiều mỗi người mỗi nơi nhưng trường thì vẫn ở đó nên e cũng mong sau khi ra trường thì e và các bạn sẽ có cơ hội gặp lại nhau và gặp các giáo viên nữa",Fear
"bản thân tớ từng rất yêu thích mùa hè.Tớ rất sợ phải chia ly cái lớp tớ.Nhưng rồi tớ cứ thấy ghét mùa hè vì nó khiến tớ luôn khó chịu vì nắng.Ghét như cuối cùng vẫn thương,vì hè là kỉ niệm của  giữa tớ và chàng trai 15 tuổi.Tớ từng mong thoát khỏi cấp 2 nhanh vì tớ bị blhđ rất nặng.Đôi khi tớ đã khóc,tớ mệt mỏi,tớ áp lực nhưng tớ lại chẳng muốn rời xa vì tớ còn rất nhiều người.Mùa hè cuối cùng cấp 2,nhớ mỗi lúc chơi phao,lần cúp tiết,là thầy chủ nhiệm với sự vui tươi.Ôi,tôi thật sự muốn vỡ òa khóc.Ghét lớp nhưng rồi cũng yêu lớp...Cảm giác thật kỳ lạ cũng thật đau...",Enjoyment
"""Có ước muốn cho thời gian trở lại""",Other
Mãi đến khi đi làm tôi mới nhớ lại những thứ từng quen thuộc từng làm mình thấy  chán bây giờ đây lại xa lạ đến thế nếu có điều ước mình muốn quay lại thời còn ngây thơ thời kh mạng internet chỉ cần rãnh là đám nhỏ trong xóm lại tụ tập lại... thời gian đó thật xa lạ,Sadness
"Hè năm 2023, là mùa hè cuối cùng của tớ trong những năm tháng còn là học sinh này
Tớ buồn lắm, tự dưng tớ thấy yêu mái trường này nhiều lắm, tự dưng tớ thấy nhớ thầy cô, nhớ bạn bè hơn
Tớ rất sợ những cuộc chia ly, tớ sợ đó là lần cuối được gặp, tớ sợ đó là lần cuối được nói 2 từ TẠM BIỆT, dù không phải người quan trọng trong cuộc đời của tớ, nhưng mà các bạn, những thầy cô đã gắn bó với tớ trong suốt 3 năm cấp 3 luôn chiếm 1 vị trí nhỏ bé trong tim tớ, nó sẽ ở với tớ đến hết đời này, chỉ là sẽ có lúc tớ vô tình quên đi vì những bộn bề, những muộn phiền của cuộc sống này thoi.",Sadness
Tại sao mình lại cứ ngheđi nghe lại 10 lần rồi nhỉ,Other
